asset_id,submitter_id,nacc_id,count,unit,latest_submitted_date
2664,40,62,1,,2022-12-13
2665,40,62,1,,2022-12-13
2666,40,62,1,,2022-12-13
2667,40,62,1,,2022-12-13
2668,40,62,1,,2022-12-13
2669,40,62,1,,2022-12-13
2670,40,62,1,,2022-12-13
2671,40,62,1,,2022-12-13
2672,40,62,1,,2022-12-13
2673,40,62,1,,2022-12-13
2674,40,62,1,,2022-12-13
2675,40,62,1,,2022-12-13
2676,40,62,1,,2022-12-13
2677,40,62,1,,2022-12-13
2678,40,62,1,,2022-12-13
2679,40,62,1,,2022-12-13
2680,40,62,1,,2022-12-13
2681,40,62,1,,2022-12-13
2682,40,62,1,,2022-12-13
2683,40,62,1,,2022-12-13
2684,40,62,1,,2022-12-13
2685,40,62,1,,2022-12-13
2686,40,62,1,,2022-12-13
2687,40,62,1,,2022-12-13
2688,40,62,1,,2022-12-13
2689,40,62,1,,2022-12-13
2690,40,62,1,,2022-12-13
2691,40,62,1,,2022-12-13
2692,40,62,1,,2022-12-13
2693,40,62,1,,2022-12-13
2694,40,62,1,,2022-12-13
2695,40,62,1,,2022-12-13
2696,40,62,1,,2022-12-13
2697,40,62,1,,2022-12-13
2698,40,62,1,,2022-12-13
2699,40,62,1,,2022-12-13
2700,40,62,1,,2022-12-13
2701,40,62,1,,2022-12-13
2702,40,62,1,,2022-12-13
2703,40,62,1,,2022-12-13
2704,40,62,1,,2022-12-13
2705,40,62,1,,2022-12-13
2706,40,62,1,,2022-12-13
2707,40,62,1,,2022-12-13
2708,40,62,1,,2022-12-13
2709,40,62,1,,2022-12-13
2710,40,62,1,,2022-12-13
2711,40,62,1,,2022-12-13
2712,40,62,1,,2022-12-13
2713,40,62,1,,2022-12-13
2714,40,62,1,,2022-12-13
2715,40,62,1,,2022-12-13
2716,40,62,1,,2022-12-13
2717,40,62,1,,2022-12-13
2718,40,62,1,,2022-12-13
2719,40,62,1,,2022-12-13
2720,40,62,1,,2022-12-13
2721,40,62,1,,2022-12-13
2722,40,62,1,,2022-12-13
2723,40,62,1,,2022-12-13
2724,40,62,1,,2022-12-13
2725,40,62,1,,2022-12-13
2726,40,62,1,,2022-12-13
2727,40,62,1,,2022-12-13
2728,40,62,1,,2022-12-13
2729,40,62,1,,2022-12-13
2730,40,62,1,,2022-12-13
2731,40,62,1,,2022-12-13
2732,40,62,1,,2022-12-13
2733,40,62,1,,2022-12-13
2734,40,62,1,,2022-12-13
2735,40,62,1,,2022-12-13
2736,40,62,1,,2022-12-13
2737,40,62,1,,2022-12-13
2738,40,62,1,,2022-12-13
2739,40,62,1,,2022-12-13
2740,40,62,1,,2022-12-13
2741,40,62,69,,2022-12-13
2742,40,62,3,,2022-12-13
2743,40,62,9,,2022-12-13
2744,40,62,1,,2022-12-13
2745,40,62,1,,2022-12-13
2746,40,62,1,,2022-12-13
2747,40,62,1,,2022-12-13
2748,40,62,1,,2022-12-13
2749,40,62,1,,2022-12-13
2750,40,62,1,,2022-12-13
2751,40,62,1,,2022-12-13
2752,40,62,1,,2022-12-13
2753,40,62,1,,2022-12-13
2754,40,62,1,,2022-12-13
2755,40,62,1,,2022-12-13
2756,40,62,1,,2022-12-13
2757,40,62,1,,2022-12-13
2758,40,62,1,,2022-12-13
2759,40,62,1,,2022-12-13
2825,42,663,1,,2023-06-07
2826,42,663,1,,2023-06-07
2827,42,663,1,,2023-06-07
2828,42,663,1,,2023-06-07
2829,42,663,1,,2023-06-07
2830,42,663,1,,2023-06-07
2831,42,663,1,,2023-06-07
2832,42,663,1,,2023-06-07
2833,42,663,1,,2023-06-07
2834,42,663,1,,2023-06-07
2835,42,663,1,,2023-06-07
2836,42,663,1,,2023-06-07
2837,42,663,1,,2023-06-07
2838,42,663,1,,2023-06-07
2839,42,663,1,,2023-06-07
2840,42,663,1,,2023-06-07
2841,42,663,1,,2023-06-07
2842,42,663,1,,2023-06-07
2843,42,663,1,,2023-06-07
2844,42,663,1,,2023-06-07
2845,42,663,1,,2023-06-07
2846,42,663,1,,2023-06-07
2847,42,663,1,,2023-06-07
2848,42,663,1,,2023-06-07
2849,42,663,1,,2023-06-07
2904,43,688,1,เรือน,2023-05-30
2905,43,688,1,เรือน,2023-05-30
2906,43,688,1,เรือน,2023-05-30
2907,43,688,1,เรือน,2023-05-30
2908,43,688,1,เรือน,2023-05-30
2909,43,688,1,เรือน,2023-05-30
2910,43,688,1,เรือน,2023-05-30
2911,43,688,1,เรือน,2023-05-30
2912,43,688,1,เรือน,2023-05-30
2913,43,688,1,เรือน,2023-05-30
2914,43,688,1,เรือน,2023-05-30
2915,43,688,1,เรือน,2023-05-30
2916,43,688,1,เรือน,2023-05-30
2917,43,688,1,เรือน,2023-05-30
2918,43,688,1,เรือน,2023-05-30
2919,43,688,1,เรือน,2023-05-30
2920,43,688,1,เรือน,2023-05-30
2921,43,688,1,เรือน,2023-05-30
2922,43,688,1,เรือน,2023-05-30
2923,43,688,1,เรือน,2023-05-30
2924,43,688,1,เรือน,2023-05-30
2925,43,688,1,เรือน,2023-05-30
2926,43,688,1,เรือน,2023-05-30
2927,43,688,1,เรือน,2023-05-30
2928,43,688,1,เรือน,2023-05-30
2929,43,688,1,เรือน,2023-05-30
2930,43,688,1,เรือน,2023-05-30
2931,43,688,1,เรือน,2023-05-30
2932,43,688,1,เรือน,2023-05-30
2933,43,688,1,เรือน,2023-05-30
2934,43,688,1,เรือน,2023-05-30
2935,43,688,1,เรือน,2023-05-30
2936,43,688,1,เรือน,2023-05-30
2937,43,688,1,เรือน,2023-05-30
2938,43,688,1,เรือน,2023-05-30
2939,43,688,1,เรือน,2023-05-30
2940,43,688,1,เรือน,2023-05-30
2941,43,688,1,เรือน,2023-05-30
2942,43,688,1,ใบ,2023-05-30
2943,43,688,105,บาท,2023-05-30
2944,43,688,20,บาท,2023-05-30
2945,43,688,,,2023-05-30
2946,43,688,1,"เส้น, องค์",2023-05-30
2947,43,688,1,องค์,2023-05-30
2948,43,688,1,"เส้น, องค์",2023-05-30
2949,43,688,1,"เส้น, องค์",2023-05-30
2950,43,688,,,2023-05-30
2951,43,688,,,2023-05-30
2952,43,688,1,วง,2023-05-30
2953,43,688,1,วง,2023-05-30
2954,43,688,1,วง,2023-05-30
2955,43,688,1,วง,2023-05-30
2956,43,688,1,กระบอก,2023-05-30
2957,43,688,1,เส้น,2023-05-30
2958,43,688,,,2023-05-30
2959,43,688,1,เส้น,2023-05-30
2960,43,688,,,2023-05-30
2961,43,688,1,เส้น,2023-05-30
2962,43,688,,,2023-05-30
2963,43,688,1,วง,2023-05-30
2964,43,688,1,เส้น,2023-05-30
2965,43,688,1,คู่,2023-05-30
2966,43,688,1,คู่,2023-05-30
2967,43,688,1,คู่,2023-05-30
2968,43,688,1,คู่,2023-05-30
2969,43,688,1,วง,2023-05-30
2970,43,688,1,คู่,2023-05-30
2971,43,688,1,วง,2023-05-30
2972,43,688,1,วง,2023-05-30
2973,43,688,1,คู่,2023-05-30
2974,43,688,1,วง,2023-05-30
2975,43,688,1,คู่,2023-05-30
2976,43,688,1,วง,2023-05-30
2977,43,688,1,วง,2023-05-30
2978,43,688,1,วง,2023-05-30
2979,43,688,1,คู่,2023-05-30
2980,43,688,1,วง,2023-05-30
2981,43,688,1,วง,2023-05-30
2982,43,688,1,คู่,2023-05-30
2983,43,688,1,อัน,2023-05-30
2984,43,688,,,2023-05-30
2985,43,688,1,คู่,2023-05-30
2986,43,688,1,คู่,2023-05-30
2987,43,688,1,คู่,2023-05-30
2988,43,688,1,วง,2023-05-30
2989,43,688,1,คู่,2023-05-30
2990,43,688,1,อัน,2023-05-30
2991,43,688,1,อัน,2023-05-30
2992,43,688,1,เส้น,2023-05-30
2993,43,688,,,2023-05-30
2994,43,688,6,วง,2023-05-30
2995,43,688,,,2023-05-30
2996,43,688,1,เส้น,2023-05-30
2997,43,688,1,เส้น,2023-05-30
2998,43,688,1,หัว,2023-05-30
2999,43,688,1,เส้น,2023-05-30
3000,43,688,1,เส้น,2023-05-30
3001,43,688,,,2023-05-30
3002,43,688,1,เส้น,2023-05-30
3003,43,688,,,2023-05-30
3004,43,688,1,เส้น,2023-05-30
3005,43,688,1,คู่,2023-05-30
3006,43,688,1,เส้น,2023-05-30
3007,43,688,1,เรือน,2023-05-30
3008,43,688,1,เรือน,2023-05-30
3009,43,688,1,เรือน,2023-05-30
3010,43,688,1,เรือน,2023-05-30
3011,43,688,1,เรือน,2023-05-30
3012,43,688,1,เรือน,2023-05-30
3013,43,688,1,เรือน,2023-05-30
3014,43,688,1,เรือน,2023-05-30
3015,43,688,1,เรือน,2023-05-30
3016,43,688,1,เรือน,2023-05-30
3017,43,688,1,เรือน,2023-05-30
3018,43,688,1,เรือน,2023-05-30
3019,43,688,1,เรือน,2023-05-30
3020,43,688,1,เรือน,2023-05-30
3021,43,688,1,เรือน,2023-05-30
3022,43,688,1,เรือน,2023-05-30
3023,43,688,1,เรือน,2023-05-30
3024,43,688,1,เรือน,2023-05-30
3025,43,688,1,เรือน,2023-05-30
3026,43,688,1,ใบ,2023-05-30
3027,43,688,1,ใบ,2023-05-30
3028,43,688,1,ใบ,2023-05-30
3029,43,688,1,ใบ,2023-05-30
3030,43,688,1,ใบ,2023-05-30
3031,43,688,1,ใบ,2023-05-30
3032,43,688,1,ใบ,2023-05-30
3033,43,688,1,ใบ,2023-05-30
3034,43,688,1,ใบ,2023-05-30
3035,43,688,1,ใบ,2023-05-30
3036,43,688,1,ใบ,2023-05-30
3037,43,688,1,ใบ,2023-05-30
3038,43,688,1,ใบ,2023-05-30
3039,43,688,1,ใบ,2023-05-30
3040,43,688,1,ใบ,2023-05-30
3041,43,688,1,ใบ,2023-05-30
